Value,Formatted_Date
11412,Feb-22
11461,Mar-22
11541,Apr-22
11569,May-22
11474,Jun-22
11355,Jul-22
11440,Aug-22
11588,Sep-22
11375,Oct-22
11179,Nov-22
11235,Dec-22
11785,Jan-23
11723,Feb-23
11280,Mar-23
11118,Apr-23
11137,May-23
10898,Jun-23
11030,Jul-23
11049,Aug-23
10938,Sep-23
10835,Oct-23
10646,Nov-23
10940,Dec-23
10997,Jan-24
NA,Feb-24
NA,Mar-24
NA,Apr-24
NA,May-24
NA,Jun-24
NA,Jul-24
NA,Aug-24
NA,Sep-24
NA,Oct-24
NA,Nov-24
NA,Dec-24
